coverage,deployed_confidence,agreement_baseline,oracle
0.63,0.036677602514990096,0.03477436558669052,0.0
0.635,0.03638880249518703,0.03450055168443311,0.0
0.64,0.03610451497569338,0.03534708755296991,0.0
0.645,0.043576572999137614,0.03507307912232673,0.0
0.65,0.04324136859145194,0.03480328620600114,0.0
0.655,0.04291128180831109,0.03453761226549732,0.0
0.66,0.04258619634006631,0.0342759636877284,0.0
0.665,0.0422659993751034,0.03401824967503871,0.0
0.67,0.04195058146931905,0.033764382140150366,0.0
0.675,0.041639836421398166,0.03351427560577888,0.0
0.68,0.04133366115359377,0.03326784710867756,0.0
0.685,0.04103195559772812,0.03424156112004975,0.0
0.69,0.040734622586150376,0.03399343386555664,0.0
0.695,0.0404415677474011,0.03651589394289353,0.0
0.7,0.04729555654920537,0.04001446462525632,0.0
0.705,0.046960127070132994,0.03973067409599918,0.0
0.71,0.04662942194992079,0.03945088061644989,0.0
0.715,0.04630334207614512,0.04616800732542577,0.0
0.72,0.045981791089505224,0.045847396163443646,0.0
0.725,0.04566467528888795,0.04553120722438541,0.0
0.73,0.04535190354033392,0.04521934964065674,0.0
0.735,0.04674406746182825,0.04491173501725092,0.0
0.74,0.046428229168167245,0.04460827734821544,0.0
0.745,0.052828039710662765,0.04430889293648245,0.0
0.75,0.05247585277925835,0.045680166983572565,0.0
0.755,0.0521283305754222,0.0453776493214297,0.0
0.76,0.05178538103216285,0.045079112154841346,0.0
0.765,0.05396074053270678,0.045718184250934824,0.0
0.77,0.05361034611366323,0.04542131292463005,0.0
0.775,0.05326447291292992,0.04512827219608405,0.0
0.78,0.05292303398400088,0.045551239112206016,0.0
0.785,0.05258594459556775,0.045261103831236556,0.0
0.79,0.058582236085469225,0.04655691962977303,0.0
0.795,0.05821379434908262,0.049199119296671735,0.0
0.8,0.05784995813440086,0.04889162480106753,0.0
0.805,0.0574906416242493,0.04920906812528451,0.0
0.81,0.05713576112039591,0.0489053084454988,0.0
0.815,0.05678523497855299,0.0486052758783485,0.0
0.82,0.05643898354575694,0.04891865834250491,0.0
0.825,0.056096929100025075,0.04862218162527761,0.0
0.83,0.0557589957921936,0.048329276916691595,0.0
0.835,0.05542510958984513,0.04870521604360428,0.0
0.84,0.05509519822323891,0.04841530404334474,0.0
0.845,0.054769191133160575,0.04812882295433086,0.0
0.85,0.05444701942061257,0.04784571223107009,0.0
0.855,0.05412861579826981,0.04756591274433869,0.0
0.86,0.05381391454362871,0.047289366740011135,0.0
0.865,0.05350285145378114,0.04701601779931743,0.0
0.87,0.053195363801747914,0.04674581080047078,0.0
0.875,0.05289139029430936,0.046478691881610947,0.0
0.88,0.05259087103127351,0.04621460840501088,0.0
0.885,0.05229374746612507,0.0459535089224967,0.0005649717514124294
0.89,0.05199996236800077,0.04569534314203323,0.0011235955056179776
0.895,0.051709459784939314,0.04544006189542969,0.0017380509000620734
0.9,0.05142218500835632,0.045187617107121755,0.002345679012345679
0.905,0.05113808453869689,0.04493796176398848,0.0029465930018416206
0.91,0.05085710605222053,0.04591205110716559,0.0035409035409035405
0.915,0.05057919836887507,0.04566116558198982,0.004302194466128892
0.92,0.05030431142121814,0.04541300707339205,0.005055210489993097
0.925,0.05003239622434669,0.04516753135948182,0.005800085800085799
0.93,0.049763404846796436,0.04492469516937708,0.006664959890766342
0.935,0.04949729038237507,0.04468445615777614,0.007698837110601815
0.94,0.04923400692289435,0.04444677288034116,0.008839918946301924
0.945,0.04897350953176792,0.04421160476986316,0.010038089309797993
0.95,0.048715754218442826,0.04397891211317967,0.011301046734483266
0.955,0.04846069791363423,0.04433038959484423,0.012550779474093303
0.96,0.04820829844533405,0.044099502149037746,0.014488615959204193
0.965,0.04795851451556548,0.04387100731924999,0.016831507413647005
