coverage,deployed_confidence,agreement_baseline,oracle
0.805,0.13762778601124215,0.1377381154641095,0.04349787564832432
0.81,0.13677823177660484,0.13920269499828164,0.04528698341181203
0.815,0.14207407084546003,0.14080267846454986,0.047054138932802955
0.82,0.14120776553542674,0.1403028056044719,0.049002995809228955
0.825,0.14035196089581808,0.14253414966911865,0.05097873522856696
0.83,0.13950646715548184,0.14258825208987788,0.05293067055851536
0.835,0.1401681050767065,0.14323143620910017,0.05491680657083194
0.84,0.13933377111791656,0.14237886813642694,0.056970873198386514
0.845,0.13982423532563434,0.1428513140185914,0.05900063134514163
0.85,0.13900173982371886,0.14436395334789381,0.06100650998428785
0.855,0.1381888641522351,0.1435197197025845,0.06298892805455518
0.86,0.13738544052344306,0.1443464322956758,0.06494829475191242
0.865,0.14237165184989714,0.1435120598546603,0.06688500981114992
0.87,0.14155342396570234,0.1444556244974054,0.0687994637777525
0.875,0.14074454725732688,0.14420159235742025,0.07069203827045106
0.88,0.14247011485498096,0.14546559846145005,0.07281563148734876
0.885,0.14166519895184548,0.14464375892211984,0.07506293433371469
0.89,0.14086932704762162,0.1438311535349169,0.07728498658630122
0.895,0.14008234756690865,0.1457735796253856,0.07948221143941751
0.9,0.13930411230264805,0.14760026124516923,0.08167717843801209
0.905,0.14074442107445662,0.14678479018856608,0.0839415333843701
